sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
90,30,2149.52995608541,1438.43621950252,East,North,1.50235
90,30,2148.32040176003,1438.43305402047,East,North,1.50237
90,30,2148.24684903686,1438.43209971443,East,North,1.50236
90,30,2148.93031068181,1438.43443775151,East,North,1.50241
90,30,2149.32911085255,1438.43542113021,East,North,1.5024
20,30,NaN,NaN,Camp,North,1.14113
90,90,2149.07577463696,1438.4344133739,East,North,1.48934
20,90,NaN,NaN,Camp,North,1.13599
90,90,2148.81046922262,1434.47268044673,East,North,1.48934
90,90,2148.53138262847,1434.47291366082,East,North,1.48934
20,90,NaN,NaN,Camp,North,1.13603
